Categoria;Codigo;Texto breve de material;Ubicación;Imagen
Reguladores;10000760;"REGULADOR 30 M3H CD 3/4"" NPTH-180 II E";5A1;https://i.ibb.co/WvxFSsYX/10000760.png
Reguladores;10000765;"REGULADOR 7 M3H 60 PSI CD M26x1.5x3/4""";4B1;https://http2.mlstatic.com/D_NQ_NP_2X_916693-MCO86857779475_062025-T.webp
Reguladores;10000766;"REGULA 38 M3H 80 PSI CD 3/4"" NPTH PE R10";5A1;https://i.ibb.co/GvX7kkL9/10000766.jpg
Reguladores;10000767;"REGULADOR 10 M3H20-60 PSICD 3/4""NPTH-180";5A1;https://www.humcar.com/wp-content/uploads/2023/06/411247.jpg
Reguladores;10000774;143-16-021-06 RESORTE REG SENSUS 243B;C.C.E3C;
Reguladores;10000778;"71411P011 RESORTE 3-30 PSI PILOTO AFV 2""";C.C.E3B;
Polietileno;10000807;"SILLETA PE80 D 3"" IPS x3/4""IPS SOCKET";5B2;
Rep.Herra.Varios;10000816;"SUPLEMENTO REDUC 4"" x 2"" IPS TERMOF 4P";5A1;
Polietileno;10000824;TAPA PLASTICA SEÑALIZACION 15 CM DIAM;4A2;https://i.ibb.co/6csgXqgw/10000824.jpg
Polietileno;10000828;"TAPON   PE80 D   1/2"" CTS SOCKET";1A1;https://i.ibb.co/r2L3x7Vd/10000828.jpg
Galvanizados;10000832;"TAPON HIERRO GALV D 1/2"" NPTH";3B2;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcROpkmkfx_AYLLNQYVx-mz7_t5mVqYhEUWtDQ&s
Galvanizados;10000833;"TAPON HIERRO GALV D 3/4"" NPT HEMBRA";3B2;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrNEE3TpqmWT1ZX0Wxz294KQzX3g2Z5CtivA&s
Galvanizados;10000834;"TAPON HIERRO GALV D 2""NPTH";3B2;https://ferreteriavidri.com/images/items/large/14089.jpg
Acero;10000836;"TAPON AC D 1/2"" NPTM X 3000 LB ROSCADO";6A2;https://i.ibb.co/hFXDg6mc/10000836.jpg
Acero;10000839;"TAPON ACERO D 1"" NPTMx3000 LB";6A2;https://www.toolferreterias.com/cdn/shop/products/47050016.jpg?v=1707262798
Galvanizados;10000841;"TAPON HIERRO GALV D 1/2"" NPT MACHO";2B2;https://baratadelvalle.com/wp-content/uploads/2025/03/1982979-3.jpeg
Galvanizados;10000843;"TAPON HIERRO GALV D 3/4"" NPTM";3B2;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ60FEEA72FMQf-S6Gwg_NFjI5ZyA0jfuISxQ&s
Polietileno;10000844;"TAPON   PE80 D   1/2"" IPS SOCKET";1A1;https://i.ibb.co/mV0cTGRG/10000844.png
Polietileno;10000845;"TAPON   PE80 D  2"" IPS SOCKET";1A1;https://edemco.co/uploads/imageproducts/8675585.webp
Polietileno;10000846;"TAPON   PE80 D  3"" IPS TOPE";1A1;
Polietileno;10000847;"TAPON   PE80 D   3/4"" IPS SOCKET";1A1;
Polietileno;10000848;"TAPON PE80 D 4"" IPS TOPE";1A1;
Polietileno;10000849;"SILLETA AUTOPER PE80D2""X3/4"" IPS ELECTRO";5B2;
Polietileno;10000850;"SILLETA AUTOPER PE80D6""X3/4"" IPS ELECTRO";5B2;
Acero;10000855;"TEE AC SCH40 D 1"" PARA SOLDAR";6B2;https://image.made-in-china.com/202f0j00GcIqUDrRJvkj/ASTM-ANSI-Carbon-Steel-Seamless-Steel-Pipe-Reducing-Tee.webp
Acero;10000859;"TEE AC D 3/4"" X 300 LB ROSCADA";6A2;https://www.toolferreterias.com/cdn/shop/products/47030016_05432cf4-aaf7-4859-8e4b-da1c3256a9f8.jpg?v=1707262834
Acero;10000860;"TEE AC SCH40 D 2"" PARA SOLDAR";6A2;https://http2.mlstatic.com/D_NQ_NP_946581-MLA80418740445_112024-O.webp
Acero;10000861;"TEE AC SCH40 D 3"" PARA SOLDAR";6B2;https://tectul.com/rails/active_storage/blobs/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NjA5OTQ3LCJwdXIiOiJibG9iX2lkIn19--801da7a25e03564bec709b22a546d3ae7d026cd0/TEE16.jpg?locale=es
